Episode,Total Reward
1,2470.0
1,1703.0
2,2857.0
3,-1691.0
4,-2950.0
5,-611.0
6,2858.0
7,-5478.0
8,-295.0
9,2250.0
10,2890.0
11,-2414.0
12,-3249.34467325918
13,-2119.0
14,-1297.0
15,-2794.0
16,-2507.0
17,-5375.0
18,-1067.0
19,-912.0
20,1782.0000000000002
21,972.0
22,517.0
23,100.0
24,-3224.0
25,593.0
26,28542.457178413868
27,1386.0
28,-2082.0
29,462.0
30,-1684.0
31,-489.0
32,-2373.0
33,-899.0
34,2912.000166988142
35,-2876.0
36,455.0
37,1652.0001549899932
38,-1106.0
39,-2722.0
40,-718.0
41,-692.9425994202254
42,10.0
43,-1684.0
44,-3046.999999999999
45,-1923.0
46,-2674.0
47,-1518.0
48,-1007.0
49,-1689.9999999729798
50,-3443.0
51,-928.0
52,-1000.0
53,815.0
54,-1305.0
55,-1844.0
56,-997.0
57,-471.0
58,-1569.0
59,-1365.0
60,-1969.0
61,-1282.0
62,-51.0
63,-2387.0
64,-1667.0
65,-772.0
66,-249.0
67,-2314.0
68,-2222.0
69,-3255.0
70,-3660.1649721221183
71,-1520.9999978819476
72,-2020.0
73,-415.0
74,448.0000000000919
75,-3566.0
76,-1712.999999999996
77,-2990.0
78,-967.0
79,-891.0
80,-1398.0
81,-978.9999961237189
82,-1701.0
83,55944.64498436451
84,-1847.0
85,-3083.0
86,-601.0
87,-2045.0
88,-1285.9999999983158
89,-971.0
90,-3354.0
91,-1827.0
92,-3665.0
93,-2634.0
94,-955.0
95,-3494.0
96,-1716.0
97,-1801.8996591485138
98,-681.0
99,470.0000042571331
100,-1119.0
101,-260.0
102,-128.0
103,-779.0
104,-1133.7434789194667
105,-1980.9999691704454
106,-457.0
107,-1487.0
108,-2195.0
109,2528.4696395024657
110,-664.3741358062252
111,-1250.0
112,-1470.0
113,-2874.0
114,-424.0
115,-1090.0
116,-2214.0
117,-1272.0
118,-573.0
119,-2007.0
120,-397.9999933453485
121,85.0
122,-1107.9999998896856
123,-2507.9956514413725
124,-2651.0
125,-3543.0
126,-1253.0
127,-1007.0
128,-1409.0
129,-1856.0
130,684.0
131,-538.4098926559091
132,-469.0
133,-2297.0
134,-52.0
135,-1085.0
136,-607.0
137,-1210.0
138,-2005.0
139,212.0
140,-2025.0
141,-1317.9999999757897
142,-175.0
143,-1793.0
144,-1108.999999761672
145,-696.0
146,-525.0
147,836.0
148,304.0000285687755
149,-2006.0
150,-1467.1708647596242
151,-524.0
152,-399.0
153,780.0
154,870.0
155,-1775.0
156,-1745.0
157,-1679.0
158,-1722.4994567369986
159,-648.9999999999936
160,-251.0
161,-744.0
162,-1326.0
163,-1557.0
164,-1245.0
165,-996.3316199720139
166,-2835.0
167,-1957.0
168,-2720.0
169,886.0
170,-1972.0
171,-1291.0
172,-3127.0
173,-75.98845002428675
174,3184.8022004291415
175,-2294.9999999995275
176,-1570.0
177,-707.0
178,-596.0
179,-3520.0
180,-2664.0
181,-1778.0
182,-2009.0
183,-876.0
184,-965.0
185,-507.0
186,-376.0
187,-24.0
188,-625.0
189,-1599.9999974665957
190,-2071.0
191,-704.0
192,-1737.0
193,-1207.0
194,-1742.0
195,-748.0
196,-926.0
197,166.0
198,-1197.0
199,861.0
200,1429.887532517314
201,-1722.0
202,-1328.0
203,-1827.0
204,5567.74869389832
205,-3056.0
206,-2742.8750150373944
207,-1516.0
208,-862.0
