Episode,Total Reward
1,-1106.902221730561
2,-2549.8596569919027
3,-3929.999846429979
4,-1849.9999999165027
5,-1644.0935358591378
6,-2404.9999938469887
7,-1704.9999994698364
8,-929.9999999958824
9,-2024.9999999998406
10,-2554.999999999996
11,-1199.9963139255112
12,-134.92237955331802
13,-3279.9999953400647
14,-2464.999999999071
15,-1179.9994984772652
16,-1899.9999866847295
17,-459.9999999999999
18,-774.9999999999998
19,-1964.9999999928718
20,-1019.64512622857
21,-3339.9999999310426
22,-3764.9999886860896
23,-2424.969369531275
24,-284.5202840678394
25,-1464.9999999999998
26,-1510.0
27,-2289.999991678427
28,-865.1555023994297
29,-1079.8356189311562
30,-789.9999985839838
31,-1094.999999999999
32,-1204.9989099796949
33,-1259.9999913045544
34,-229.99999995770307
35,-1264.99999997639
36,-1104.9999188375027
37,-1359.9999999999961
38,-774.9738408786811
39,-1074.9999588843787
40,-1244.9999593290004
41,-1689.9999999930442
42,-2566.8604880198836
43,-1974.9999999708573
44,-1124.9999999998968
45,-1382.2816658450756
46,-1139.9999999999704
47,-1336.710379710421
48,-1059.9999778282884
49,-820.0
50,-1329.9966167541716
51,-1364.999999625685
52,-614.9999999553856
53,-1329.9999999989261
54,-1304.9999397244835
55,-2070.0
56,-1324.999999689123
57,-1564.9998380551267
58,-1144.9999999214385
59,-1404.681377345696
60,-739.9999999999067
61,-1339.999999964297
62,-429.99999912584536
63,1.1978698416397659e-11
64,-1635.0
65,-999.5416123745963
66,-1909.9999974695095
67,-1189.9999978047472
68,3979.1007840633392
69,-264.99998317119247
70,-1134.9998027891172
71,2.1058046020469567e-07
72,-1182.4201030284166
73,-774.9999999581311
74,3.0549621579207344e-11
75,-979.999999999991
76,433.3792622387409
77,-1299.9994580624946
78,-489.9999999999999
79,-417.907608281821
80,13.953815281856805
81,-1917.7436473965645
82,190.3532375395298
83,-1174.999999867568
84,-634.9999999124186
85,-1659.9993370225047
86,-478.10515489429235
87,-704.2205093097436
88,-737.4749885518395
89,-1664.9899002082761
90,-1269.9995246208325
91,-1370.3118164971238
92,-819.9999999897938
93,4.7974756797394824e-08
94,-624.9999999999997
95,-199.99999999999994
96,-77.43553216569126
97,5.700591859452916e-10
98,-154.99999927182154
99,-39.999999999805496
100,-9.999999999878565
101,-49.99999999434246
102,0.33363164744514506
103,-1917.4963223515078
104,-359.99999999994316
105,0.00010816885280817701
106,-420.8890552818775
107,-1729.9999999968404
108,-398.85571294507827
109,3.0547183316518125e-10
110,527.9446358978748
111,5294.531057476997
112,102.1681628189981
113,0.029270680975059804
114,3.410022455296868e-05
115,-1413.4361805394292
116,8.976005098856347e-14
117,-1784.9999999997974
118,-2294.9981728785597
119,-1469.9999997276864
120,101.57432761974633
121,1163.247556090355
122,2.7976194036383184e-06
123,-1709.8696621602085
124,1.2286463533239811e-05
125,-2249.999999999992
126,-484.99999999952524
127,-1669.9997780994115
128,-1549.9999999999407
129,-889.9999999993883
130,-519.9999999999982
131,-714.9999999999679
132,-1397.9785267822444
133,0.08765399544245156
134,9.554693078506205e-05
135,-379.9999989553964
136,-1549.976705079132
137,1.0627057984687396e-08
138,-1559.992155464202
139,-323.9224013313651
140,-524.6438661093998
141,-1549.9891227639785
142,-1244.9999450826708
143,-1594.999999943986
144,-1019.9999980040114
145,0.07777473757869302
146,-1864.9999999999998
147,-122.53167279064655
148,2.6954990333966783e-08
149,-1419.9999999999984
150,1632.9830238223076
151,3.6257146140838026e-12
152,0.09504877835752268
153,23.137843294534832
154,-669.9998897511173
155,-1967.953219069168
156,-2480.0
157,-549.9999999883963
158,-429.9999996670973
159,-1804.4804209607173
160,1.5397832440794446
161,-1719.9999999999957
162,-604.9999999999953
163,-99.99999947403452
164,-2050.0
165,-1099.9999995729595
166,-199.99999999999986
167,-199.99999999977257
168,5421.2719810009
169,595.6898072361946
170,-1649.999999997624
171,25.273020155727863
172,-449.99860997577485
173,5.586677713324828e-10
174,-659.9998849041792
175,-95.30117814225378
176,-99.99999999995735
177,-99.99999650713549
178,-1399.999560945316
179,4.0120033224511076e-05
180,-1939.9997573295302
181,37.01277332380414
182,-1914.9974859296713
183,-1964.9999990844206
184,1.9021926466258887e-07
185,2.43597806445905
186,0.14883536055094737
187,-749.9999997665664
188,0.027811539814592834
189,-1685.2017930691363
190,2626.198797672987
191,1.889156224168945e-09
192,-929.9999999581822
193,-199.99193229327147
194,2.745208807708254e-11
195,0.004769356399378921
196,75.12271633837372
197,-619.999999999999
198,3347.3598170280457
199,-544.9999999929156
200,3.038607711530316e-09
201,1.0512281858063985e-11
202,-682.3220615833998
203,-59.99971110492021
204,-199.9998397439376
205,-1043.1901789456606
206,-154.99999999995802
207,0.0003291387269754864
208,-745.5503593676258
209,6.300956663683637e-14
210,-99.99999999977395
211,-199.99999999982944
212,4.547829152455856e-13
213,119.7496370319277
214,3.836448391666636
215,-82.44034922448918
216,-2099.990819309367
217,-1829.9999999510947
218,0.00031185124537813635
219,0.14737109313500696
220,3.1012538481809022e-09
221,-1830.0
222,-169.99999999996695
223,6548.917685747147
224,-2199.99999999993
225,-2072.853837152943
226,-2084.9801458757365
227,0.0002356101015621448
228,-342.39330213633366
229,-524.8308554082541
230,1.334297331403013e-11
231,3.137690747223587e-05
