Episode,Total Reward
1,-3443.0
2,-1350.3124963340233
3,-3035.9999999995143
4,-4398.0
5,-1275.9999470967314
6,-1595.9999999956055
7,-2125.9999999999995
8,-1345.4963471494848
9,-2423.9999999930087
10,-1665.6574469360057
11,-840.9914534824472
12,-5991.982356667519
13,-6179.956487769155
14,-4209.9999999476195
15,-2604.9999320002016
16,-1827.0
17,-1895.999999999994
18,-1163.9999999995237
19,-2632.0
20,-4983.999999999382
21,-1742.968537893301
22,-1959.9999999999998
23,-1896.9997788539215
24,-1090.5986762791872
25,805.0336675198037
26,1244.038152307272
27,-1052.9999999999995
28,-1682.9628953877836
29,-98.85610297531821
30,-2630.9999996500173
31,-3309.572898242448
32,-444.9999993389293
33,-5233.9999999999945
34,-3700.999826874479
35,-0.1411786291282624
36,-1481.9999528518879
37,-4670.998090763513
38,2248.6303077340126
39,-2664.690132436168
40,-1397.9999460322304
41,-1165.9999999999993
42,-1060.9980550190007
43,-1998.99840867147
44,226.0830504467831
45,4400.022716641426
46,-2803.999999999566
47,-2234.9999380936674
48,1347.0000000002044
49,-1871.6822047200112
50,-1324.9995369399983
51,-972.3792705292799
52,-1374.9999979014872
53,-2651.0
54,-1594.999802712798
55,-2167.999999526691
56,-567.3150069266558
57,-894.9494254596584
58,-10433.999999980359
59,-1833.9696038608954
60,-1095.985443602568
61,-449.3861616961658
62,-873.9999995964491
63,-1215.6599579965696
64,-2339.9997080433423
65,-1692.3152529713698
66,-1746.0
67,-2546.7970035861545
68,-7662.999608862885
69,-2655.9999999103693
70,-3177.999998885353
71,-2265.9999493529485
72,-760.0
73,-1700.9708971173663
74,-702.8225127930527
75,-1010.9999999842677
76,-1640.9792577298358
77,-1613.999998712062
78,-4173.0
79,-2993.9999997129116
80,45.95367223024368
81,-1116.450409991201
82,-2488.9999999998645
83,-2807.999999999999
84,-851.9999999733782
85,-117.99999999999977
86,-2422.9999999999995
87,-4587.999999681933
88,-699.9999996900466
89,-1742.0734805688262
90,-3759.9999825166074
91,-2237.987723473095
92,-1311.0
93,791.9121087789536
94,-1435.0
95,-759.6752423546277
96,-2717.9999999956303
97,-2901.999999995757
98,-658.1338158044528
99,-1600.999999979864
100,-2585.8751511520277
101,-2069.993157592246
102,-4339.999999999989
103,-1276.970965200987
104,1039.000020270801
105,-5848.439760600682
106,-2392.955110216746
107,-1924.999932351223
108,-1353.4842930718369
109,-2257.0
110,-2502.9999999976785
111,428.00240296930735
112,-1653.998930088298
113,-72.99999999999875
114,-3335.9999979946147
115,-1598.9734323848247
116,-2737.111803370528
117,-1298.9884163371746
118,-2008.9995309077096
119,143.61404368281364
120,499.0000000000001
121,-1116.9999999999982
122,-381.9999688089217
123,-1923.9999997881491
124,-319.9999993964812
125,-915.9999999999959
126,-617.9999081224883
127,-121.99633876972098
128,-1318.9999999944448
129,-3464.229697600007
130,-28.323458071798086
131,-980.4715613228254
132,-314.99999934770034
133,-343.99999999737753
134,-1134.9931867390546
135,-186.07151073217392
136,-2405.9999997222003
137,-1749.9999999998277
138,-268.999999994549
139,-2879.5951292812824
140,-12.652197986841202
141,-492.99999999335796
142,64.3826430198751
143,-876.0
144,-1726.9237049611747
145,-5472.999999996204
146,-4056.0206398379523
147,-1720.3336118356674
148,-1238.1777428928763
149,-1788.9999952928574
150,-337.99986462901444
151,-1324.7523439548677
152,-713.0426121428609
153,-1404.6076382886677
154,-1067.999999794652
155,-474.9999999999999
156,-4015.9999999999986
157,-5579.999999985759
158,-929.9972916498173
159,-594.9999999999984
160,-3636.9995173389498
161,-2169.9999734156154
162,-3943.9999999999995
163,2422.2966229319572
164,-4796.999999999998
165,-2648.996853439536
166,-2956.18162053579
167,-226.61429972210317
168,-3256.9987187630477
169,-202.99999999985363
170,-2292.999999999996
171,-2772.999999852279
172,-390.0
173,-2810.706724821299
174,-1655.097468495369
175,-257.99999999954287
176,-2820.99601619555
177,-4508.999999907327
178,-2714.968033462874
179,-603.999999999752
180,-3072.999983911011
181,-2754.426864631787
182,-2115.9999999999723
183,-1668.999919128624
184,-1180.9999999999316
185,-5699.169354364276
186,-895.5615506224203
187,-844.8803216341094
188,-314.99310325596184
189,-1663.9999999680142
190,-1292.8770965943186
191,-1351.99533375131
192,-656.9999999999005
193,-171.9999999999034
194,-322.9641229352801
195,372.0000000000081
196,-2455.999162733656
197,730.1611756757302
198,-410.9999999999999
199,-4899.0
200,54.51718979328871
201,-235.99999822383916
202,-823.9802362145817
203,-530.9977424941296
204,167.0000000000001
205,472.00005750545336
206,-730.600520552136
207,-305.999999999635
208,-17.999999999961904
209,-722.9999862606568
210,895.0000000000001
211,-578.9999999946871
212,-1782.99978322509
213,-410.99999999999983
214,-920.9999699767537
215,307.00000000135265
216,-279.9999995014338
217,-12.132859651232138
218,-1566.9999949697233
219,-1064.9999877971543
220,-3375.886596242268
221,-568.9999999999999
222,-1249.9999997952978
223,189.0
224,-5622.999999995455
225,-368.0
226,-602.7980816960335
227,-731.7985691343201
228,-121.64681248400302
229,565.0001092349844
230,-1558.2444832552574
231,-477.99995403053765
232,-872.9999999999214
233,-1651.9999999999404
234,-3896.9999998754824
235,-1656.999868309702
236,1050.26306155778
237,-1008.9999999936017
238,-339.9999999999993
239,1284.0000000000014
240,417.18090084195137
241,-6907.999999999999
242,-1390.0
243,-890.9999999959107
244,-1518.999999999959
245,-469.62812318230135
246,-827.9999688272557
247,-1127.9999999997046
248,-4377.209687311595
249,-553.9999999236896
250,-418.99999999999744
251,3076.4438572824
252,-49.936277481724574
253,-1891.9999999999582
254,-1241.9999996804372
255,-400.99999999683894
256,890.005866368071
257,-1291.4982097633183
258,1297.0014712757002
259,552.77884760499
260,-2191.9999490854475
261,73.46159435811569
262,-2353.981225501267
263,-5309.999999998814
264,-465.9974013336627
265,627.0000000002294
266,117.76873137317307
267,453.15576252155006
268,78.00000162817184
269,-257.9972268233725
270,177.00000000541712
271,1221.0000009525043
272,1606.0041904163813
273,-966.9973489243168
274,1233.007471750956
275,-68.99999999999059
276,-693.9999999998554
277,-2831.138211466372
278,131.68681177624967
279,-1153.9999997602586
280,318.4413088705405
281,-1385.999999998253
282,301.000000006301
283,6098.29580950737
284,1148.0073421024397
285,70.0706288361971
286,7.000000000000121
287,-751.9999999994486
288,142.000000000007
289,192.04549452476203
290,-97.17850310727954
291,1352.0000000000011
292,-75.37746506661642
293,-420.99826349877264
294,1249.0000000000002
295,-930.8059386387467
296,-210.99999996296674
297,-569.9999999987842
298,-1174.9999999918298
299,-767.886423073709
300,-671.6350918963435
301,-518.9999999869419
302,-1568.9998719008693
