Episode,Total Reward
1,-1297.4748829376767
2,-2267.9999999732927
3,-2336.0
4,32.0
5,-2111.999999999998
6,-2559.369296565652
7,-985.999949017731
8,-730.0
9,-2535.6221297300945
10,-4186.0
11,418.891592502594
12,-1850.3262350559235
13,465.2985458741896
14,-391.99999999975057
15,-823.9991573646114
16,-1337.0856738184812
17,-869.9999999998272
18,-1223.9999999919005
19,-2133.9999999997985
20,-1527.9999999998684
21,-878.5453916788101
22,-1898.0
23,-680.0
24,-1377.9967469456737
25,440.6230444323737
26,-623.9999998386172
27,-346.0
28,-905.9999999815279
29,-820.0
30,-653.2623682022095
31,-340.0
32,273.21839020214975
33,-720.3263761997223
34,-1685.9999657807484
35,-1017.9999998300394
36,-1276.188101558946
37,-3887.0306280106306
38,-668.903025625099
39,-819.4527307776734
40,68.00000000000094
41,-310.0
42,-1206.0
43,-903.9999617306454
44,-381.9971520843983
45,-866.0
46,-920.0
47,-319.99999929428674
48,-1151.9999999997715
49,-1133.99999999997
50,-2330.0
51,204.00000000000009
52,-797.9998735537724
53,-1323.999999999992
54,-477.99999999999994
55,-377.99999999992286
56,-411.9999972816444
57,-441.91281435072597
58,90.00000000169271
59,-1303.9999999625782
60,-1134.0
61,-965.9999999807861
62,-1211.9999999966758
63,-269.99999999999596
64,-705.9999597116459
65,-2358.0
66,-1621.9998883415847
67,-775.9999999999999
68,-599.9999612181126
69,4.0143818720735
70,-839.9997362773679
71,484.0
72,-379.9999999981264
73,-679.9999999065886
74,-927.9999999998284
75,-429.3597517758608
76,38.000010967695374
77,-290.0
78,-373.9999987301013
79,-261.9649452399044
80,-1274.0
81,18.00000034367872
82,-949.9999998077762
83,-415.9999999997611
84,-423.96199999661985
85,1102.0000000000002
86,-544.2115461416543
87,-1331.2854363368242
88,-1607.3491738243029
89,-1067.99906162852
90,-621.9999999999998
91,-2287.9999999950887
92,-416.0
93,-1199.9999999997722
94,-297.9999999976549
95,-1067.9999999885742
96,-855.999999092345
