Episode,Total Reward
1,-1466.999999999829
2,-1313.9999999999611
3,-5960.604086947627
4,5375.57853782177
5,-4490.999999991006
6,-5300.999999999888
7,-5434.0
8,-3196.9999994808777
9,-1272.151056688279
10,-6742.999999999955
11,-2885.0
12,-4033.9999999999995
13,-5028.999999978293
14,-4444.734231129871
15,73.00000045767011
16,-4249.999325609342
17,-3887.0
18,-389.60195928812027
19,-2394.0450722848764
20,-2689.3810634060064
21,-1072.9999999999998
22,-9000.0
23,-6223.999999999894
24,-5994.999751967504
25,-7569.99999988139
26,-4287.999862275865
27,-1076.9994718906278
28,-2691.9999998847543
29,-1940.0
30,-4527.999999999958
31,-6070.378713160753
32,-4985.999999999999
33,-782.2674812972546
34,-6350.456456954358
35,-2543.0
36,-2444.999949901576
37,-3510.9999999988986
38,-9552.99848355386
39,-1754.999999995808
40,-1205.0
41,-838.9999999947306
42,-3176.673470684793
43,-2334.999999999957
44,-5207.814238578081
45,-1140.9999999999998
46,-2684.9999999992606
47,-5802.98205048618
48,-2923.9999988373397
49,251.97759771347046
50,-4309.0
51,675.5840175058693
52,-3067.9999719056013
53,-1006.9999999999924
54,-8525.908283017576
55,-3243.999999999993
56,-5681.0
57,-3598.5148300076835
58,-3711.999999999999
59,-2746.9999999963406
60,-10789.960774908992
61,-2123.999999999977
62,-2085.99705548921
63,-2398.0
64,-7579.999995948683
65,-1722.622913537547
66,-8728.999999893478
67,-2473.9999998455787
68,-2678.9999973756067
69,-3138.9999973302197
70,-5372.0
71,-5098.997708039178
72,-836.9999859637733
73,-1362.9999999999998
74,-4986.999998950645
75,-6779.21156511642
76,-2814.63967062952
77,-729.0
78,-4414.976675480604
79,-1219.880008161068
80,-5913.999999864838
81,-2033.9999999999673
82,-2623.999463251531
83,-2105.999999999992
84,-3010.0
85,-3214.999944586055
86,-1177.0
87,-2119.997265847272
88,-5029.948572421263
89,1064.000000000364
90,-1288.9999999996126
91,-1503.8517473861575
92,-4493.0
93,-436.37714809179306
94,-2435.99927455817
95,-3081.3090224114712
96,933.6025904417038
97,-6105.507034920156
98,-3121.989030654293
99,-10015.999483435873
100,1388.040505852296
101,-2926.0
102,-3551.9999918158596
103,-3204.4947222100745
104,-2309.999999999999
105,-4108.95983965478
106,-8221.999999985572
107,-6522.999999999977
108,-4307.999999999655
109,-4669.6693288934475
110,-4161.4407699671865
111,261.00000000000017
112,-3084.999951753786
113,-6751.0
114,-6000.9999999767015
115,-2531.999999999861
116,-3001.999999999915
117,-2257.999991060141
118,-2297.822211266219
119,-2526.8716582854977
120,-1490.999999999672
121,-695.3786567747593
122,1413.7750994267408
123,-1356.1418609805405
124,-1808.9996103503327
125,-1709.999962566685
126,-2320.9999515374557
127,-5225.999867389627
128,-2925.9999717477303
129,-1828.9999990004799
130,-4815.999999999999
131,-7616.0
132,-6219.395877152681
133,-6632.995707358528
134,-2283.999999999997
135,-9005.999999993779
136,-120.63100731372833
137,-1128.999970435648
138,-6604.368834681445
139,-1412.999999855809
140,-3223.9999804831255
141,-6866.99799173688
142,-3428.9999830464585
143,416.94633293151855
144,-196.99999999991172
145,-6240.740024924278
146,-3960.9998882113955
147,-3743.999999999992
148,-1608.9999972818373
149,-876.9999999996444
150,-5467.999999997454
151,-3384.2655492778867
152,-3638.999999994081
153,-5674.99999683316
154,-4864.999999999999
155,-5609.0
156,-3799.999999999896
157,-6144.999999999981
158,-1161.60915466398
159,-5820.0
160,-3336.999999521157
161,-816.9275379627943
162,674.0003405847498
163,-1748.9999999999302
164,-4582.999999416229
165,-5315.888815385293
166,-1685.9999822259242
167,-1086.9999999999998
168,253.00000107105623
169,-248.99999999988268
170,-6259.999996418839
171,-4742.999521137241
172,-4740.104005934671
173,-6548.972705614287
174,685.0001356010066
175,-1630.5739448163658
176,-2123.9999988597256
177,-6173.999999999998
178,-3832.7958900915182
179,-9198.958165183565
180,-9179.311539601535
181,-119.99996952894342
182,-754.9999999898688
183,1516.9273966550827
184,-1178.9948575490816
185,-3200.0
186,-6498.999952999741
187,-1402.1229949593544
188,-3559.931523025036
189,-4084.973921716213
190,-4190.999999999996
191,146.5707970362855
192,-3037.4584731906652
193,-2296.0
194,-1034.0
195,-3709.999810636174
196,-3077.627315398975
197,-4928.0
198,-2556.9999645529083
199,-3706.9999999979927
200,-1606.0387835502625
201,-1242.9993817343457
202,-4238.974966796581
203,5036.340862154961
204,-9592.0
205,-5625.999754063993
206,66.00000000085814
207,-4268.999999999997
208,-4191.661825897172
209,-3460.993879227818
210,-7487.0
211,-7697.9999994303535
212,-1604.0
213,-2249.999649880206
214,-385.99999999700293
215,-1577.0
216,-1142.9999999999243
217,-5508.999603606933
218,-2549.9999999999663
219,-2979.0
220,-420.26614470801724
221,-2825.9995054477295
222,-1406.9999987804654
223,-1863.9999867023437
224,-6552.9999766443725
225,-1514.981945302277
226,-3207.999999979059
227,-3517.0357389282435
228,-752.0935714156367
229,-105.99983249410118
230,-440.99998055638713
231,6.784058332443237
232,-4742.999999999927
233,-2202.653317559161
234,-2704.0
235,-617.9999999999158
236,-5776.793852802341
237,-5677.9999999999845
238,-2160.9999999999973
239,-2504.9999997209243
240,-2098.999938193172
241,-4414.999999997779
242,-1440.0
243,-4486.999999999622
244,-1391.9999999999757
245,625.7097181715071
246,-5086.991144291161
247,-2815.2409175618377
248,-833.0
249,-3656.9999999310685
250,-213.8328727396729
251,-2238.0
252,-2327.999999108066
253,-2861.688814911293
254,-1497.9999951111063
255,-891.9999999999999
256,-1014.9999872171882
257,-1136.9999907729757
258,750.0000000000031
259,-4893.802471855855
260,-2440.999999999999
261,-848.9150003855584
262,-1717.9999991578245
263,-4419.999999985026
264,-989.0
265,-4703.565381840766
266,-2821.996701214433
267,-3954.99999999948
268,-5086.0
269,65.00000000740978
270,-6897.995627791165
271,19.00005826652858
272,-5419.75898888395
273,-84.99999999999989
274,276.0000000006088
275,-2993.9999999990523
276,-4463.999998407106
277,-8596.999999999813
278,-4205.9999999111915
279,-3398.983636261504
280,-1500.873791065911
281,-319.9999999684839
282,-1356.410854017362
283,-1502.9999999996412
284,-1409.9987524620396
285,-728.6032733619213
286,-2047.9999999999998
287,-4970.999999492942
288,-887.9999999992542
289,-6140.994406465275
290,-1108.9999999999993
291,-2515.999999926284
292,-4856.0374994874
293,-1145.9999999999998
294,-4859.655949940905
295,-2248.9999999986035
296,-3842.9999999999995
297,-4130.999999991413
298,-3950.9520452748984
299,-1992.6709637492895
300,-7528.999999981565
301,-2484.9999999942397
302,-1571.5135554097214
303,-1803.9999999893428
304,-453.9999878623852
305,-1621.0
306,-2000.9999999999993
307,-6810.992685904194
308,-2706.9916612325774
309,-3567.9999999999995
310,-4420.21616718173
311,-68.57295003533363
312,-7957.0
313,-7514.9999993244455
314,-2539.0
315,-1960.8085048273206
316,-3155.2362364827422
317,-2479.9546942947927
318,-1097.9999998597664
319,-745.9999999999999
320,-5254.0
321,-2678.985802500694
322,-1952.9708577393321
323,-402.97003498154527
324,-2474.3322229869664
325,-1520.0
326,-3924.999999999754
327,-1386.9868071783385
328,-5245.99345903753
329,-2761.999213222483
330,-3066.999999314703
331,-1399.9999966537227
332,105.00000000000107
333,-2527.9999596229836
334,-3728.99999999997
335,-3634.9999962594734
336,-7008.998492246012
337,-2890.9999999889415
338,-1122.9999926926591
339,-2477.5248483270407
340,-1783.4140492822407
341,-8469.0
342,-6707.998723271341
343,-1638.1532074385323
344,-657.9999999996893
345,-6507.976824777187
346,-1286.9999376310886
347,-3933.511636424344
348,-2736.9999077869816
349,-2449.7636032979935
350,-2339.0
351,-1486.9999998527278
352,-1447.9999927963613
353,-1617.9982051879635
354,-4785.0
355,-3303.2520923593547
356,-2834.9999999996467
357,-2992.998096511633
358,-1927.9999985088173
359,-4827.999999430077
360,-1167.9999999870615
361,-2562.9999997781247
362,-3970.9999999999814
363,-5548.98355141026
364,-2833.8827404442636
365,-4678.999999995233
366,-2590.999690607043
367,-3434.158876528265
368,-1943.640639040852
369,-5429.77798028207
370,-835.9999984912853
371,-1713.1433660934854
372,-3417.9530850280053
373,-832.5823024213314
374,-3800.989431965686
375,-2122.999999999999
376,-6723.99999038676
377,-2542.283590549603
378,-2403.9999902783056
379,-2823.9999999385627
380,-1480.992636874544
381,-2493.8403208164837
382,-3437.610402047634
383,-2473.9999999996853
384,-5909.9555064267
385,-712.3894801363349
386,-1802.9999999999602
387,-3684.8431652372346
388,-4438.999999752562
389,-8519.999958635075
390,-1268.9999999999957
391,-5010.99999986248
392,-7024.934194373282
393,-1626.9999999997776
394,-2017.0761671192886
395,-1432.388068549335
396,1339.5350891053677
397,-3259.9999685419075
398,-2465.993712572751
399,-2021.9999999997376
400,-8153.654030207545
401,-2141.9999999999995
402,-2527.0587495863438
403,-5726.999993132002
404,-2439.999999999597
405,-7536.9999999958645
406,-2394.9999999999623
407,-10255.958688186614
408,-1929.9737890584652
409,-3023.9596180468798
410,-1347.845455320974
411,-4272.0
412,-2723.999988355385
413,-2384.164793068543
414,-2632.9999999999995
415,-4186.142851024866
416,-3195.552696872037
417,-3733.9999999989955
418,-1073.9999944690785
419,-382.9999999996296
420,-742.7492909431458
421,-3420.0
422,-1767.9999999890392
423,-1264.9999999373053
424,-3469.1935350182466
425,-6.666467417031527
426,-6550.9999999331585
427,-7181.994453940853
428,728.7627085447311
429,-480.45859133636986
430,-2604.999999912315
431,-7520.994157096686
432,-4259.0
433,759.2751033003442
434,-960.9999979524886
435,-1674.2122390037403
436,-2692.1519506918266
437,-1397.3505804538727
438,-1858.9999999998363
439,-2498.1674472764134
440,-2041.9042079746723
441,-2145.999999999951
442,-1246.9999999009785
443,-1630.9999992795158
444,-1649.6376322936267
445,-4520.999999999999
446,-4827.813313209925
447,-1952.9999999998931
448,-2016.8632208829513
449,-414.9999999999894
450,-3140.9755731020123
451,-2216.967573568225
452,-724.9999999999824
453,-4196.99953909371
454,-2541.924379358472
455,-1299.96693791599
456,-4251.402956540696
457,1542.1466039419174
458,-1294.9998794357118
459,-6777.825143557864
460,-5640.304501007777
461,510.0000000000001
462,-7976.92815888264
463,-5877.998788652223
464,116.00000000093883
465,-2671.9997778930306
466,-5684.999999999999
467,-9502.99999278572
468,-6227.999999195712
469,-5344.999999839617
470,-10224.0
471,-2969.3518275357783
472,-6887.868979360617
473,-4800.999999098654
474,-1153.0235871043988
475,-2657.8031642486785
476,2231.243115365505
477,-7406.936423138893
478,-1770.998785578681
479,564.0000142598801
480,-2572.9999983065873
481,-6728.998000714233
482,-7780.0
483,-9540.999999999998
484,-1507.783618569374
485,-2820.999971075413
486,-4147.5238545825705
487,-2777.9999999299425
488,-1009.9999999999484
489,-1649.469294000446
490,-4538.9999999996535
491,704.714607834816
492,-2089.9999975036962
493,-1254.9999999997192
494,-3460.9999815103774
495,-1787.5810515375488
496,-3798.999999970364
497,-2609.417675969962
498,-3964.999886667007
499,-1743.9999997267996
500,269.0000000076396
501,-4649.220747931191
502,-3692.955640178405
503,-6925.798055914125
504,-3052.996649894072
505,-1178.9999999999984
506,-556.999997736021
507,-3995.9999664363177
508,-3064.998056732695
509,-3222.999999987697
510,1584.3439890146255
511,-8770.99999997172
512,-3818.2320790439844
513,-7105.926175819342
514,-3578.7704695530774
515,-712.9995329981384
516,-3486.0
517,-6660.999999999999
518,-3200.7075574956834
519,-6803.999999999744
520,-6299.999999999998
521,-3724.9999999999986
522,-1132.9998409745724
523,-4710.768209917966
524,-5206.999999999451
525,-4235.999999999996
526,-1680.9792588949203
527,-80.87824254656516
528,-9010.925471948269
529,-5669.999954410719
530,-5641.0
531,-5349.999999999233
532,-1729.9999999999645
533,-7561.99999999142
534,-3091.9999997548516
535,-784.2308524991386
536,-1066.0
537,-1145.9999731187213
538,-5875.999999999981
539,-8490.342846751213
540,-3225.999999999979
541,-8054.999813031111
542,-7294.999947054653
543,-2630.9999999999995
544,-3205.0
545,-1330.7999593591085
546,-1764.515113413334
547,-5997.999999999999
548,-6868.060674449429
549,-925.0737556675449
550,-3970.51044912386
551,-1339.9999683045266
552,-2366.7140347260574
553,-88.99978984704796
554,-6179.999999955945
555,-4469.05622574687
556,-4848.6578308077005
557,-1802.9999999375173
558,-4768.827626481652
559,-5637.9999999938755
560,-3816.9999999998117
561,-352.6533126309514
562,-829.7258228063583
563,-2723.9999999998895
564,-1346.9999999999982
565,-320.9999999986353
566,-445.9999999999999
567,-4638.0
568,326.0000002883601
569,-4626.99822061572
570,-1542.9999999962122
571,-842.9999999999998
572,-3739.9999993428146
573,-1024.1722276448272
574,-1835.9770693221922
575,-5283.901776358485
576,-9160.999999986601
577,-2767.9999999988577
578,136.00000000109273
579,-5974.0
580,-1928.0
581,-2426.0
582,-1319.742992296815
583,-8313.999979276216
584,-8174.999999999997
585,-4416.564657374751
586,-2625.1491619944572
587,-1062.4831597717712
588,-945.9937337004599
589,-1764.999999999979
